Date,C20_PX_LAST,C20_PX_HIGH,C20_PX_LOW,C20_PX_BID,C20_PX_ASK,C20_PX_MID,C40_PX_LAST,C40_PX_HIGH,C40_PX_LOW,C40_PX_BID,C40_PX_ASK,C40_PX_MID,Futures_PX_LAST,Futures_PX_HIGH,Futures_PX_LOW,Futures_PX_BID,Futures_PX_ASK,Futures_PX_MID,Spread_Close,Spread_Widest,Spread_Narrowest,Futures_Last,Futures_High,Futures_Low,PnL_Close,PnL_Close_Pct,PnL_Best_Exit,PnL_Best_Exit_Pct,PnL_Worst_Intraday,PnL_Worst_Intraday_Pct
2026-02-05,3.12,3.25,2.64,3.0,3.3,3.15,0.86,0.95,0.75,0.65,1.01,0.83,21.07,21.1,19.62,21.05,21.1,21.075,2.2600000000000002,2.5,1.6900000000000002,21.07,21.1,19.62,0.8100000000000003,55.9,1.05,72.4,0.2400000000000002,16.6
2026-02-06,2.24,2.72,2.2,2.1,2.43,2.27,0.6,0.69,0.58,0.4,0.76,0.58,19.7,21.57,19.6,19.65,19.7,19.675,1.6400000000000001,2.14,1.5100000000000002,19.7,21.57,19.6,0.19000000000000017,13.1,0.6900000000000002,47.6,0.060000000000000275,4.1
2026-02-09,1.9,2.3,1.89,1.94,2.07,2.01,0.5,0.57,0.49,0.35,0.64,0.5,19.2,19.8,18.77,19.2,19.25,19.225,1.4,1.8099999999999998,1.3199999999999998,19.2,19.8,18.77,-0.050000000000000044,-3.4,0.3599999999999999,24.8,-0.13000000000000012,-9.0
2026-02-10,2.06,2.07,1.85,1.99,2.1,2.05,0.52,0.52,0.47,0.47,0.58,0.52,19.5,19.6,19.1,19.5,19.55,19.525,1.54,1.5999999999999999,1.33,19.5,19.6,19.1,0.09000000000000008,6.2,0.1499999999999999,10.3,-0.11999999999999988,-8.3
2026-02-11,1.97,2.23,1.83,1.85,2.2,2.03,0.49,0.56,0.47,0.35,0.66,0.51,19.48,19.9,19.1,19.45,19.5,19.475,1.48,1.76,1.27,19.48,19.9,19.1,0.030000000000000027,2.1,0.31000000000000005,21.4,-0.17999999999999994,-12.4
2026-02-12,2.7,2.79,1.85,2.58,2.8,2.69,0.67,0.67,0.45,0.42,0.9,0.66,20.45,20.67,19.2,20.45,20.55,20.5,2.0300000000000002,2.34,1.1800000000000002,20.45,20.67,19.2,0.5800000000000003,40.0,0.8899999999999999,61.4,-0.2699999999999998,-18.6
2026-02-13,2.86,3.05,2.22,2.63,3.15,2.89,0.72,0.75,0.57,0.36,1.01,0.69,20.91,21.22,19.85,20.9,20.95,20.925,2.1399999999999997,2.48,1.4700000000000002,20.91,21.22,19.85,0.6899999999999997,47.6,1.03,71.0,0.02000000000000024,1.4
2026-02-17,2.29,3.2,2.23,2.25,2.39,2.32,0.51,0.93,0.49,0.43,0.59,0.51,20.18,21.65,20.05,20.15,20.2,20.175,1.78,2.71,1.2999999999999998,20.18,21.65,20.05,0.33000000000000007,22.8,1.26,86.9,-0.15000000000000013,-10.3
2026-02-18,2.27,2.45,1.99,2.12,2.33,2.23,0.55,0.59,0.45,0.35,0.62,0.49,20.15,20.48,19.7,20.1,20.15,20.125,1.72,2.0,1.4,20.15,20.48,19.7,0.27,18.6,0.55,37.9,-0.050000000000000044,-3.4
2026-02-19,2.56,2.83,2.45,2.35,2.88,2.62,0.6,0.67,0.58,0.39,0.82,0.61,20.65,21.13,19.95,20.6,20.7,20.65,1.96,2.25,1.7800000000000002,20.65,21.13,19.95,0.51,35.2,0.8,55.2,0.3300000000000003,22.8
