Date,C20_PX_LAST,C20_PX_HIGH,C20_PX_LOW,C20_PX_BID,C20_PX_ASK,C20_PX_MID,C25_PX_LAST,C25_PX_HIGH,C25_PX_LOW,C25_PX_BID,C25_PX_ASK,C25_PX_MID,Futures_PX_LAST,Futures_PX_HIGH,Futures_PX_LOW,Futures_PX_BID,Futures_PX_ASK,Futures_PX_MID,Spread_Close,Spread_Widest,Spread_Narrowest,Futures_Last,Futures_High,Futures_Low,PnL_Close,PnL_Close_Pct,PnL_Best_Exit,PnL_Best_Exit_Pct,PnL_Worst_Intraday,PnL_Worst_Intraday_Pct
2026-02-20,2.19,2.86,2.14,1.91,2.28,2.09,1.26,1.63,1.23,1.02,1.34,1.18,20.15,21.25,19.98,20.1,20.15,20.125,0.9299999999999999,1.63,0.5100000000000002,20.15,21.25,19.98,0.019999999999999907,2.2,0.7199999999999999,79.1,-0.3999999999999998,-44.0
2026-02-23,2.67,2.79,2.07,2.61,2.85,2.73,1.51,1.57,1.18,1.45,1.65,1.55,21.01,21.25,19.95,21.0,21.05,21.025,1.16,1.61,0.4999999999999998,21.01,21.25,19.95,0.2499999999999999,27.5,0.7000000000000001,76.9,-0.41000000000000025,-45.1
2026-02-24,2.13,2.84,2.11,2.05,2.26,2.15,1.15,1.58,1.15,1.04,1.3,1.17,20.35,21.3,20.2,20.3,20.35,20.325,0.98,1.69,0.5299999999999998,20.35,21.3,20.2,0.06999999999999995,7.7,0.7799999999999999,85.7,-0.3800000000000002,-41.8
2026-02-25,1.59,2.05,1.58,1.3,1.65,1.48,0.89,1.09,0.86,0.49,1.05,0.77,19.3,20.44,19.3,19.35,19.4,19.375,0.7000000000000001,1.19,0.49,19.3,20.44,19.3,-0.20999999999999996,-23.1,0.2799999999999999,30.8,-0.42000000000000004,-46.2
2026-02-26,1.67,2.25,1.5,1.65,1.9,1.78,0.93,1.24,0.85,0.87,1.13,1.0,19.98,20.65,19.28,19.95,20.0,19.975,0.7399999999999999,1.4,0.26,19.98,20.65,19.28,-0.17000000000000015,-18.7,0.4899999999999999,53.8,-0.65,-71.4
2026-02-27,2.19,2.55,1.8,2.12,2.35,2.24,1.17,1.35,1.02,1.05,1.32,1.19,20.55,21.21,19.85,20.55,20.6,20.575,1.02,1.5299999999999998,0.44999999999999996,20.55,21.21,19.85,0.10999999999999999,12.1,0.6199999999999998,68.1,-0.4600000000000001,-50.5
2026-03-02,2.4,3.6,2.02,2.26,2.63,2.44,1.25,2.0,1.04,1.13,1.35,1.24,21.11,22.8,20.5,21.1,21.15,21.125,1.15,2.56,0.020000000000000018,21.11,22.8,20.5,0.23999999999999988,26.4,1.65,181.3,-0.89,-97.8
2026-03-03,3.02,5.35,2.41,2.79,3.25,3.02,1.5,2.9,1.15,1.48,1.86,1.67,22.4,24.9,21.05,22.4,22.45,22.425,1.52,4.199999999999999,-0.48999999999999977,22.4,24.9,21.05,0.61,67.0,3.289999999999999,361.5,-1.4,-153.8
2026-03-04,2.3,4.0,1.95,2.12,2.51,2.32,0.99,2.0,0.89,0.79,1.17,0.98,21.34,23.35,20.7,21.3,21.35,21.325,1.3099999999999998,3.11,-0.050000000000000044,21.34,23.35,20.7,0.3999999999999998,44.0,2.1999999999999997,241.8,-0.9600000000000001,-105.5
2026-03-05,3.65,4.65,2.44,3.35,3.65,3.5,1.7,2.21,0.84,1.45,1.83,1.64,22.86,24.27,20.75,22.85,22.9,22.875,1.95,3.8100000000000005,0.22999999999999998,22.86,24.27,20.75,1.04,114.3,2.9000000000000004,318.7,-0.68,-74.7
2026-03-06,7.3,7.3,3.37,6.2,7.4,6.8,4.18,4.3,1.61,3.3,4.1,3.7,26.4,27.1,22.39,26.35,26.4,26.375,3.12,5.6899999999999995,-0.9299999999999997,26.4,27.1,22.39,2.21,242.9,4.779999999999999,525.3,-1.8399999999999999,-202.2
2026-03-09,4.25,10.07,3.55,4.0,4.45,4.22,1.98,6.65,1.52,1.83,2.26,2.05,23.89,30.19,23.12,23.85,23.95,23.9,2.27,8.55,-3.1000000000000005,23.89,30.19,23.12,1.3599999999999999,149.5,7.640000000000001,839.6,-4.010000000000001,-440.7
2026-03-10,5.03,5.5,2.66,4.85,5.2,5.03,2.2,2.5,1.05,2.01,2.42,2.22,24.75,25.25,22.1,24.7,24.75,24.725,2.83,4.45,0.16000000000000014,24.75,25.25,22.1,1.92,211.0,3.54,389.0,-0.7499999999999999,-82.4
2026-03-11,4.02,5.25,3.9,4.05,4.45,4.25,1.5,2.39,1.44,1.46,1.6,1.53,24.0,25.35,23.53,24.0,24.05,24.025,2.5199999999999996,3.81,1.5099999999999998,24.0,25.35,23.53,1.6099999999999994,176.9,2.9,318.7,0.5999999999999998,65.9
2026-03-12,5.81,6.1,4.8,5.45,6.35,5.9,2.36,2.76,1.71,1.97,2.42,2.19,25.59,26.1,24.1,25.55,25.6,25.575,3.4499999999999997,4.39,2.04,25.59,26.1,24.1,2.5399999999999996,279.1,3.4799999999999995,382.4,1.13,124.2
2026-03-13,6.45,6.85,4.35,6.05,7.0,6.53,2.49,2.88,1.32,2.4,2.71,2.55,26.59,26.85,24.2,26.55,26.6,26.575,3.96,5.529999999999999,1.4699999999999998,26.59,26.85,24.2,3.05,335.2,4.619999999999999,507.7,0.5599999999999997,61.5
2026-03-16,3.39,5.55,3.25,3.4,4.15,3.78,0.34,1.07,0.3,0.36,0.57,0.47,23.7,27.45,23.05,23.7,23.75,23.725,3.0500000000000003,5.25,2.1799999999999997,23.7,27.45,23.05,2.14,235.2,4.34,476.9,1.2699999999999996,139.6
2026-03-17,2.4,3.9,1.9,1.02,3.65,2.34,0.07,0.46,0.05,0.01,0.15,0.08,22.45,24.34,21.8,22.3,22.45,22.375,2.33,3.85,1.44,22.45,24.34,21.8,1.42,156.0,2.94,323.1,0.5299999999999999,58.2
2026-03-18,,,,,,,,,,,,,22.15,22.35,22.05,22.15,22.2,22.175,,,,22.15,22.35,22.05,,,,,,
